# ra   dec
1.499142589999999871e+02 1.979710000000000081e+00
1.499064529999999991e+02 2.041532000000000124e+00
1.498985720000000015e+02 2.631466000000000083e+00
1.499138199999999870e+02 2.355898999999999965e+00
1.499582499999999925e+02 1.774391999999999969e+00
1.499556929999999966e+02 2.692495000000000083e+00
1.499523220000000094e+02 2.674659000000000120e+00
1.499611690000000124e+02 2.417832999999999899e+00
1.501059129999999868e+02 1.594637000000000082e+00
1.501481339999999989e+02 1.937978999999999896e+00
1.501435810000000117e+02 1.912773000000000057e+00
1.501144620000000032e+02 2.262373000000000189e+00
1.501398069999999905e+02 2.282436000000000131e+00
1.501350689999999872e+02 1.992444000000000104e+00
1.501304790000000082e+02 1.965343000000000062e+00
1.501342009999999902e+02 1.985722999999999905e+00
1.501523239999999930e+02 1.708496000000000015e+00
1.504440429999999935e+02 2.567743999999999804e+00
1.504820280000000139e+02 2.290561999999999987e+00
1.504457659999999919e+02 1.696082000000000090e+00
1.504468190000000050e+02 1.703672000000000075e+00
1.504633279999999900e+02 2.607171000000000127e+00
1.504934130000000039e+02 2.372135000000000105e+00
1.504894649999999956e+02 1.748123000000000093e+00
1.504795509999999865e+02 2.676597000000000115e+00
1.504642489999999952e+02 2.071930000000000049e+00
1.506527670000000114e+02 1.688455999999999957e+00
1.506886780000000101e+02 1.656288999999999900e+00
1.506603409999999883e+02 1.976345999999999936e+00
1.506917950000000133e+02 2.022791999999999923e+00
1.506734899999999868e+02 2.033914000000000222e+00
1.507616629999999986e+02 2.433444999999999858e+00
1.507291459999999859e+02 2.417841000000000129e+00
1.507554880000000139e+02 1.899580000000000046e+00
1.507368460000000141e+02 2.029182000000000041e+00
1.507527819999999963e+02 1.794664999999999955e+00
1.507682210000000111e+02 2.377475000000000005e+00
1.507395689999999888e+02 2.705783999999999967e+00
1.507363110000000006e+02 2.760813999999999879e+00
1.507014529999999866e+02 2.375640000000000196e+00
1.507153849999999977e+02 2.084769999999999790e+00
1.507185939999999960e+02 2.105580999999999925e+00
1.507180500000000052e+02 2.718970999999999805e+00
1.507137659999999926e+02 2.445508999999999933e+00
1.507112620000000049e+02 1.841094000000000008e+00
1.506805390000000102e+02 2.728597000000000161e+00
1.506888380000000041e+02 1.890323999999999893e+00
1.507108739999999898e+02 2.484334000000000042e+00
1.507019029999999873e+02 2.800685999999999787e+00
1.507324820000000045e+02 2.194459000000000160e+00
1.507062850000000083e+02 2.251173000000000091e+00
1.507464080000000024e+02 1.646546000000000065e+00
1.507279259999999965e+02 1.703073000000000059e+00
1.507164799999999900e+02 1.732683999999999891e+00
1.507665159999999958e+02 1.777328000000000019e+00
1.507201729999999884e+02 1.791152999999999995e+00
1.507241280000000074e+02 2.687389000000000028e+00
1.507461769999999888e+02 2.671387000000000178e+00
1.507588059999999928e+02 2.091928999999999927e+00
1.507480630000000019e+02 1.886471000000000009e+00
1.502814769999999953e+02 2.684276000000000106e+00
1.506308270000000107e+02 2.779619999999999980e+00
1.506626919999999927e+02 2.509704000000000157e+00
1.506617549999999994e+02 2.238665999999999823e+00
1.506775069999999914e+02 2.801133000000000095e+00
1.506805980000000034e+02 2.822553000000000090e+00
1.506610139999999944e+02 1.684415999999999913e+00
1.506757269999999949e+02 2.346560999999999897e+00
1.506717950000000030e+02 1.748177000000000092e+00
1.506892100000000028e+02 1.745556000000000108e+00
1.506668769999999995e+02 2.066650999999999794e+00
1.500826940000000036e+02 1.806654999999999900e+00
1.501207310000000064e+02 2.771968000000000210e+00
1.501304560000000095e+02 2.129322000000000159e+00
1.501128050000000087e+02 1.899345999999999979e+00
1.501402429999999981e+02 2.498361000000000054e+00
1.501336479999999938e+02 2.457408000000000037e+00
1.501075250000000096e+02 2.806862999999999886e+00
