# ra   dec 
1.497564879391525494e+02 2.727999832329083496e+00
1.502881238470894516e+02 2.562691404830960806e+00
1.496420333447097164e+02 2.253793402686586234e+00
1.498492496571751076e+02 2.797352179931778426e+00
1.502411444532888822e+02 2.593169193877101097e+00
1.494238388058269322e+02 2.175398075297768852e+00
1.499448827527679953e+02 2.518950219941741064e+00
1.495422931897199135e+02 2.166203643084108954e+00
1.497122416991304874e+02 2.846491334659239758e+00
1.501660561072175426e+02 2.406629678186806398e+00
1.500060195864755030e+02 2.812406988326530577e+00
1.497438905906766990e+02 2.864654006409889320e+00
1.494979413738936103e+02 2.076657247637185399e+00
1.497259115533277622e+02 2.102096693211667588e+00
1.500617908835542096e+02 2.293323332409734849e+00
1.497869216300407516e+02 1.907886194111829248e+00
1.504080128437024371e+02 2.494007538071412178e+00
1.500160071482399928e+02 2.511851657293844298e+00
1.507586039992641815e+02 2.877251150997457430e+00
1.497751737024096315e+02 2.033313002199204522e+00
1.499660899882438514e+02 2.280706453844971282e+00
1.502550720538753524e+02 2.596436407020380699e+00
1.505191451139500032e+02 2.856346751829852870e+00
1.503700583188899316e+02 2.859923186538808615e+00
1.498519410636450004e+02 2.256147417560752544e+00
1.499803550127935523e+02 2.145033263248986355e+00
1.505639345886428373e+02 2.795533454806865326e+00
1.497072420695218682e+02 2.047130584635911799e+00
1.497535948238663366e+02 2.840043513064045122e+00
1.506391189158864279e+02 2.635587457440365711e+00
1.502776385725495345e+02 2.484782537019812221e+00
1.498788312134428224e+02 2.784162381363139094e+00
1.503016550975542316e+02 2.551183826607998473e+00
1.499959382350958776e+02 1.998848511072061074e+00
1.496021849772665178e+02 2.303892813688321883e+00
1.497852265038833082e+02 2.786262852069758544e+00
1.503105530044569207e+02 2.761001165494891829e+00
1.497798995049016924e+02 2.429114267424071993e+00
1.499209638374391602e+02 2.218608617384363768e+00
1.506060946121626500e+02 2.565913346819452379e+00
1.496228775739682817e+02 2.118244679869714098e+00
1.504042038130974674e+02 2.492271162710048671e+00
1.498532826686655426e+02 2.011801163339807630e+00
1.504277106063039753e+02 2.878877285024540100e+00
1.499728405148306365e+02 2.233588754858511383e+00
1.496115261029129613e+02 1.988894313075162845e+00
1.502106798804671826e+02 2.408587070364857752e+00
1.495477291516561706e+02 2.034037347511921556e+00
1.495777671936122886e+02 2.753113458814465453e+00
1.500311524295421464e+02 2.527811183245270765e+00
1.495670237827466451e+02 2.635871505219749888e+00
1.502417427397628273e+02 2.524632802205457160e+00
1.497886059005381867e+02 2.561806230805426576e+00
1.498834782791737155e+02 2.618300526619090185e+00
1.495614671509623008e+02 2.777599189278193492e+00
1.502529799275646099e+02 2.621237216919008794e+00
1.505618055109522118e+02 2.839556928235908995e+00
1.499677643489698085e+02 2.684243001478174406e+00
1.505928991323058312e+02 2.565776663666978763e+00
1.499457418395263630e+02 2.219669832976297830e+00
1.498175757998167228e+02 1.939066865392812700e+00
1.496931660791362617e+02 2.841605691099137854e+00
1.496417042097364458e+02 2.747836456372945158e+00
1.497724512088035169e+02 2.263725379477735888e+00
1.496663269889708658e+02 2.884085019772061997e+00
1.502942981306286470e+02 2.585880620531990193e+00
1.502303020538169562e+02 2.558369823553447997e+00
1.504266468419078819e+02 2.632301976247266584e+00
1.501143341580772130e+02 2.689923777392202897e+00
1.497515004528889335e+02 2.084996399053820948e+00
1.504023114919366719e+02 2.504588617524480920e+00
1.507874839143186989e+02 2.667262255595343134e+00
1.501263652343090484e+02 2.774996185455408160e+00
1.499142774307416914e+02 2.278594959957290556e+00
1.494254442958041693e+02 2.146971125231298405e+00
1.499459317030818681e+02 2.015907297529555553e+00
1.499505213294242196e+02 2.827693873580199302e+00
1.505186778546321591e+02 2.867953634446681388e+00
1.505956702731735390e+02 2.799913740267344853e+00
1.497412520546286032e+02 2.840468063117452591e+00
